pron,offset
cüng4 mäng6,3000278
cung4 säng1 fui1 gi1,3004162
sæng2 lök6 häu6,3011703
häu2 bo1,3016214
cüng1 zäu1 gwo1 sæng2,3020307
nam4 zäi2 täu4,3026594
gwu1 gwu1 zöi6 di6,3031628
fu1 wo4 häu6 däk6,3038229
si2 du1 wa2,3045352
löng1 sam1 cöng4,3050072
ngäng4 hong4 dam1 bäu2,3055315
hæng4 wa2,3063170
wa6 mui4,3066950
dai6 næng6 bäk2 si2,3070207
tung4 söng6,3076494
däng6 säng4,3080587
yäng6 cöng4 tung1 bing6,3084680
söng6 bung1 cöng4,3092953
su1 säk6,3097987
fung1 lok6 kæk2,3101976
löng1 dim2,3106905
ba1 si6 mäi4,3111312
nge2 täu4,3115928
næng4 mong4,3119185
fæk2 m4 fæk2 gok2,3122965
do1 zung2,3129252
yäk2 ha1,3133345
fäng1 di6 ha6,3136393
ma1 käm1,3140904
züng1 sing1 ding6 wa2,3144684
läu1 lüng6,3152016
gäm1 do1 yäng4,3155900
ga2 si2,3159993
züng1 zung6,3163982
me1 häu2,3168389
fo2 söng6 ga1 yäu4,3172273
zü1 säng1,3178456
zöng2 mi1 ba1,3182758
cai1 läu2,3186956
cäm1 küng4 häng4 wäi4,3191049
da2 yüng4 bo1,3198068
hük2 läu4 säng4 ho4,3202370
yüng1 se6,3207821
da2 söng2,3212019
dik2 tong4,3216008
zöi1 zung1,3219056
ting1 ha6 wäi4 ga1,3223358
säng1 wuk6 tai1 du6,3228496
sæng1 cüng1 däu6,3235619
cüng4 yäk6,3240862
siu1 ye4 zäi2,3244537
gäm1 do1 cing4,3249884
läu1 ki1 fuk6 läk2,3253873
si2 zäng6 zung2,3260892
gæk2 sæng1 da2 ngäu4,3266448
sæng2 gung1,3272840
ga2 fo1,3277142
da2 yüng4 fung1,3280817
lai1 söng6 bu2 ha6,3285537
häi6 häu2 do1,3293078
gäng1 cung4,3297694
wäk2 se4,3301787
yäu1 cüng4,3305462
söng1 säu2,3309973
lök6 duk6,3314484
läng2 sæng1,3317950
da2 gwong1,3322357
cäu4 seng2,3325719
mi6 säng4 ning4 ze2,3330335
bui1 gäng2 yäm1 ngok6,3336936
zi2 si2,3343432
