pron,offset
tot6 min4,1801777
giet5 lau3,1807333
hau3 sim1 gi1,1811844
he4 me1,1820326
yit5 ton4 si2 gan4,1823792
dui4 da3,1832169
pu1 zong1 long4 fui4,1836471
toi4 hang2,1843490
but5 ngin2 tau4,1848419
tat6 ka1,1855333
tui1 sia4,1860367
hau3 tang4,1864774
su4 miang2,1869494
siong1 li2,1874528
san3 gung1,1879248
liong1 go4,1886267
diet5 dau3,1891405
hau3 do1 si2,1895498
tiau4 ca2 heu4,1902099
da3 cung2,1908073
zin3 yong1,1913107
gon1 hon1,1917932
fun3 ciang1,1923383
gung1 bit5 fa4,1928730
tien1 fa2 lu4,1934495
zong3 bui4 tu2,1940364
siu3 gung1 bia1,1947592
co1 vu2 yang3 den4,1954193
yau4 hau3,1962257
gai3 giu4,1967186
miang4 hien2 yit5 sien4,1971802
sin2 dap5,1979657
gen1 bun3,1984064
gap5 coi4,1989620
giet5 ben1,1994131
lau3 go1,1999269
diau4 gai1 ca1,2003885
zi1 gi3,2009859
cung1 song3,2014370
mien3 ci2,2019717
zung1 van1,2024855
pin2 giun1,2029993
cong2 pau2,2036280
da3 et6 duk6,2041836
sin2 su4 biau3,2046974
bien3 dam4,2053261
zung1 su3,2057877
tai4 pin2 mun2,2063433
gi1 ca1,2070974
yiu1 co4,2075485
fu4 ho4,2080101
yiu2 lok6,2084508
fui4 gai3,2088706
sam1 diam3,2093635
gui4 fu4 kien3,2099191
bau1 ti4,2107046
tu4 zai3,2111453
ci4 bien4 fan3 yin4,2116278
vui2 hoi4,2124864
bun1 song1,2130211
gang1 gau1,2135767
he4 co4,2140592
lien2 fa1,2144685
cit6 gok5,2149614
siu3 zi3 au3 cut5,2154334
gin1 song1,2162398
dam4 tiau1,2167849
ki1 det5 zang4,2172569
sip6 lang2 zak5,2178125
yit5 liong1 tong2,2185039
yit6 zu3,2191222
giet5 vui2,2196256
song4 son4,2201499
a1 gung1,2206950
gien4 gi1 hang2 su4,2212193
zui4 hau3 but5 go4,2219525
cu4 gon1 ng3,2226544
hang2 zit5,2233981
lin2 kiau3,2238597
lot5 sot5,2243422
si4 yau4,2247933
vui4 gai3 zu1 mi2,2252758
ok5 hen3 hen3,2259986
lun2 vui2,2267736
fu1 pen2 yin3 pan4,2273605
gan4 ki3,2281251
pi2 yi1 bun1 min4,2286076
pien4 pien4,2293408
kiong2 bet5,2298233
sui4 su4 zi4,2302222
hi4 gi1 bau3 soi4,2310181
a1 gon4,2317827
ti4 yit5 tau4,2322652
du1 tang4,2328312
lang2 sang1,2333137
cin4 liong4,2339006
hau3 do1 cu4,2343204
fo3 ca1 teu2,2349282
heu4 si1,2356092
yok5 fui4 dui4 siong4,2360499
sai2 long2 dong1 tau4,2366264
kim4 dang1,2372865
yi4 zai1,2377690
li3 sau4 gong1,2382201
pan4 cong4,2388070
ta1 zau1,2392372
mui1 lok6,2397092
yi4 yen2,2400558
yiu2 tau4,2405278
dui4 pu4,2409894
fap5 tin4,2414405
cu1 cung1,2419752
gi1 lin2,2425517
diau1 zai3,2430237
pok6 ho2 yiu2,2435375
su3 vang2 siu3,2442603
dong1 cu4,2449831
din3 gak5,2454760
kiang1 sung1,2459062
he4 mak5,2465140
lau1 zip5,2469233
dong4 he4,2473640
song4 zoi4,2477524
bong1 ha4 ngan3,2482871
cung2 yong2 ziet5,2489158
tai4 ga1 m1 hau3,2496281
kiong2 su4,2503822
lau2 lit6 su4,2509587
lan4 ciu4 hien1,2515979
lui4 zui4,2523416
bi3 cung1,2528241
diu1 min4,2533588
bok6 ga1,2538935
sam1 tau4 ban3 bu3,2544073
sui3 yen1 tung2,2554122
hiap6 tiau2,2561872
fo3 zung1 ci3 lit6,2566697
kiong2 fa4,2573193
vut6 zit5 vun2 min2,2577809
sit5 yim3 sit5 sit6,2586918
siong1 yung3,2594250
tiau2 cin2,2599388
gim4 bo4,2604944
zon3 yi2 on1 zi4,2608724
sien4 cuk6,2616683
tu4 ngit5 yi2 ngien2,2621508
song1 ga3,2628631
tuk6 go4,2634396
het6 tai4 get5,2639221
sit6 hak5,2644568
yung3 set5,2649184
zit5 zon1,2653591
bau4 gien1 gung1,2658938
tai4 cung1,2667629
cam1 ban4,2672558
gak5 zai3 pu4,2678427
pin2 song2 ngin2,2684923
fut5 yen2 zu1 gan1,2691524
do1 sau3,2700006
da3 cai2,2704831
bot5 sa1,2709656
song4 ban4,2714063
vong2 get5 hin1,2719723
ziong1 sui4,2726846
se3 mi3 sui3,2732402
zon3 ga4,2740779
tien1 gung1 ti4 tau4,2746126
zak5 cuk5,2753563
yiu1 ngoi4 gon1 zam1,2757970
ngi4 zin4 cu2 ngiam2,2766661
pin2 tiau4,2773680
hang2 go4,2777773
gin1 ngiam4,2782493
ben1 dau3,2786273
sam1 hau2,2790575
cu4 hang2 ca1 soi4,2796235
bin1 ngai2 kon4 ha4,2803776
tai4 ma1 su4 gak5,2810377
mai4 siong4,2817814
con2 tau4 su1,2822012
sa2 vong2,2828508
zu1 tai2,2833646
tau4 li1,2838575
piang4 hoi1,2843191
zin1 he4 hau3 do1,2848956
tap6 zuk5,2856184
pan1 vo2,2860277
man4 ngien2 fu4,2864997
liong2 sim1 va4,2872225
sin4 dan4 kat6,2879662
yit5 min2 gin1 ngin2,2885636
tau4 gon4,2892759
yen1 vong3,2897793
zin4 kai3,2902409
ciang1 coi4,2907547
yi2 min2 gam1,2913207
fa2 ngin2 zi4 ngiap6,2922107
hoi1 mun2,2928708
fung4 hang2,2933846
sien4 ngiong4,2938984
lan2 cu2 ki2 giu4,2943286
gau3 zi4,2951977
dai1 tiau4,2956593
cam2 cung2,2961104
hau4 vui2 ngin2 su1,2967705
teu2 sa4,2975873
fan3 gon1,2981116
ga1 ha4,2987299
cu3 li1 bau1,2991706
giok5 ngan3 yin2,2997784
hiong1 gong3 kat6,3005116
kap5 dong4,3011612
go4 gan1 zam3 ziong4,3015810
yin3 fu4,3023142
hang2 hang2 ki1 ki1,3028489
gak5 min4 vui1 yen2,3035926
suk6 hak5 zai3,3042945
san4 cong2,3048710
sip6 zung3,3054684
mui1 gon1,3060344
ok5 det5,3066109
fa2 li1,3070098
yit5 dam4 dam1,3074714
cim3 sit6,3079957
dau4 hon4 sui3,3084050
song4 goi4,3091173
fun2 kiet5,3096938
siong3 da3,3101449
cam1 ci1,3106900
pin2 fen2,3112456
cong2 go4,3117281
li1 ma2,3122524
hiong1 pun4 pun4,3126617
hap5 gon1 cu4,3133636
ngui4 min4 ti2,3141177
m1 he4,3148405
zai4 zai3,3152080
sin2 du1 si1,3157009
kiong2 tu4,3164237
gam1 duk5 ngin2,3170002
sang2 pang2 ngin2,3176289
din3 det5 cu4,3184039
hau3 sau3 sau3,3189699
cien1 ki2 m1 hau3,3196195
man4 li1 cong2 sang2,3203109
tien1 giung1,3210128
zon3 tat6,3215371
hin4 ci4,3220196
cong2 den4,3224394
gung1 zai3 siong1,3229950
dong1 cien2,3237387
sien2 zon3 muk5 ma1,3241689
sin2 pien4,3248708
ai3 dep6 dep6,3254159
siong4 mau4,3259088
liong2 song3,3264122
gau1 cun1 zin4 ngien4,3270200
tien4 yiu2,3277114
da3 goi1 yok5,3281834
han4 tu4,3287703
su4 ka1,3292946
ng2 gung1 cung2,3298293
piau2 zai3,3304476
dong1 sim1,3309823
sam1 yong4,3315170
lin2 gong1,3319890
lau4 fu3,3326386
bau4 siu2,3331315
pin2 sit5,3335826
pien4 ci2,3339815
cung1 hau3,3344640
zon3 hi4,3349569
fun3 ngau2 si4 tin4,3354707
tau2 tak6,3363293
yau4 fun4,3367491
hap6 sin2,3372107
sam1 gok5 hin2,3377350
hau3 gam3,3385309
ce2 ce2,3390447
su4 gan1,3395167
au4 su1 ka1,3401036
yun4 cong2 tung1 pien4,3407846
yi4 zit5,3415074
hau3 gau3 siau4,3419272
tit6 su4 li2,3425873
sam1 sip6 si4,3431742
suk6 siong4,3438343
tau4 ki3,3444317
min2 giau4,3448410
cin4 gan1,3452817
yit5 liong1 cong2,3458582
song4 hong2,3464765
det5 pu3 tau4 zung1,3470216
yit5 liong1 fun4,3477757
ziap5 zung4,3484567
ng3 sa2 gang1,3489601
gau3 but5 tin4,3496620
vong1 heu4,3503639
tin4 ze4,3508359
pu2 gong1 cun1 tau4,3512348
me1 su4,3519053
tai4 sau3,3524296
min2 ngi4,3528807
so3 tin4,3533841
gok5 vui4 ki2 zu3,3540024
gi2 hau3 su4,3547670
li1 lun4 song4,3553748
luk5 fun4 ngi2,3559513
giung1 yin4 song1,3564860
ti4 pin2 sien4,3572401
ngiap6 yi2 oi4 hau4,3579002
zo4 pak6 su4,3584767
mit6 tong2,3590427
pau4 min2,3595774
fuk5 sa4 lang1 kiok5,3601330
ngi4 zong3,3608349
ciang1 cun1 ki2,3612860
sien1 mui4,3619774
liong2 sit6 zok5 vut6,3625121
tang4 go1,3631199
da3 giet5,3636128
tin4 yen2,3640117
bit5 yin4,3644106
zon3 zin3,3649557
gai3 tuk6 yok6,3655635
do1 zai3,3661400
si3 ziet5 ton2,3666538
pan4 sui2,3673870
cang4 cong2,3679217
yit5 se4,3684773
gi4 vui2 gi3 yiu1,3688448
cin2 kiong1 lam4 tiau4,3695362
sim3 mui1 gon1,3703008
au4 zai3,3711281
dau3 mi3,3716106
sin4 song4 sien4,3721035
gau4 sau3,3727218
yen2 zu1 heu4,3731625
sui3 ga1 da3 geu3,3738121
hau3 m1 hau3,3745140
heu4 tau4,3751741
fut6 tut6,3755939
tau4 ga1,3759928
hau3 kien1 kiong3,3765171
gok5 coi4,3772399
pau4 lon4,3777015
sin2 ngin2 zu1 mui1,3781840
ngi4 zai3 dai3,3789904
gung1 pai4 sui2 sin2,3796296
zong1 zin3 hin1,3803524
sit6 go4 si3,3812215
but6 nga2,3818711
pin2 hang2 si4 bien1 hin2,3823327
