pron,offset
ca4 su1,1799517
hek2 æng1 zäu2,1803715
hek2 fuk2 piu4 du2,1808226
zam2 ha1 ngæng2,1815454
fo2 zuk2,1819652
wäi6 zök6,1823327
peng2 gwäk2,1827211
zi6 hok6 säng4 cöi4,1830573
hau6 yi1,1838637
yäu2 säu2,1842939
fung1 cöi1 yü1 da2,1847346
yäk2 säi1,1854678
fæk2 yöng4 diu2,1858353
gok2 däk2 häu2,1863909
zo6 m4 zo6,1869152
häu2 zäk6,1872827
häu2 cöi2,1876502
lu4 wäi1,1881013
säng6 sek6,1884375
tu2 bäng1 nga1 gai2,1888259
ce1 mäi4,1895069
bing1 löng6,1898431
söng6 hæng6,1902002
yäng1 wäng6 yi4 säng1,1906095
tong1 zü1,1914054
bæng1 deng2,1918356
dim2 gai2 mäu1,1922240
sing1 gäi1,1927169
däk6 si1,1931576
gäng1 fäi1,1935565
süng4 züng2 muk6 ma1,1939658
ne2 bing6,1945945
zäu2 mäi2,1948993
käi1 hau2,1952877
sü1 tung4,1957075
züng2 hok6,1961064
gäng1 yim6 zäk6,1964426
da2 fo2,1968937
däu2 ye6 höng1,1972194
fäi1 lu4,1977228
gung6 wo4,1980276
päng4 mäng4 fa1,1983429
säp2 näi4,1988149
ting4 bok2,1991615
häk6 süng1,1995395
co1 ngük6 zi2,1999488
läng4 wuk6,2005566
zäk2 mung2,2008823
ling4 cöi4,2012812
yäng4 yäng2 cong4 cong4,2016905
æk2 däu2 säng1,2025178
cam1 ga1 ze2,2030838
gäk2 li4 läng4 se1,2035976
dim2 su1,2042890
zäu2 zäng1 säng1,2046774
säk6 ying4,2052121
löng1 ga1 ca4 läi1,2055901
cung4 söng1,2062815
zäm1 bæng2,2067222
säng4 zek2,2071315
zu6 mui4 yäng2,2074990
yüng4 gäu1,2079606
zok2 ok2 do1 düng1,2083699
mæng6 säk6,2090927
zo2 säu2 bing6,2094916
häk2 yi4,2100054
zäng1 dai1 ngæng2,2103938
du1 m4 si2,2108972
säi6 mæng1 zäi2,2113483
cam1 ci1,2118308
bi6 löng1,2122506
häu2 ngit6,2126390
liu6 cöng4 gong1,2129647
säk6 söi2 säm1,2135934
käm4 kü4,2142430
säng4 hung1,2146419
däk2 yäng4 zung1 yi1,2150617
wæk6 lük2 lük2,2157531
cung4 zäng2 ki4 gwu2,2162356
däu1 muk6 läu2,2170420
da2 cäk2,2175663
söng1 ciu4,2178816
yäk2 löng1 tong4,2182909
häi6 häu2 zäng1,2186480
gwung1 nok6 däu6 säi1,2191723
gwung1 cæk2 yäng4 si6,2200623
sip2 cäng6,2209209
häu2 näng2 fäi1,2213511
sing1 hung4,2218649
fu1 säk6,2222742
yäng4 zap6 su1,2226626
näu1 säng2,2232704
zäp2 läp2,2237424
sæng1 lok6,2240681
zip2 söng1,2243729
ngik6 söi2,2247927
häu2 ci1 ni1,2252334
fui2 söng6 sing1,2256532
läu2 gu1 po4,2262192
yü1 säng1 kü1 löi4,2267017
gäng6 bing6,2274036
nga4 cak2,2277920
ma1 bik2,2281595
häng1 zong1,2285270
mak3 töi4 bu1,2289050
liu4 mong6,2295337
sät2 na2,2299430
läng4 gi1 yäk2 zuk2,2302792
gung1 yi1 gi1,2308557
ci1 säu1,2313591
gung1 cai4,2317789
zi2 säi1,2321673
täng1 zäi2,2325871
siu1 duk6 yök6 söi2,2329860
za1 zü6 zi1 mäi1,2337401
m4 häu2,2345047
dung1 gwung2,2348304
tong4 sæng1 cöi1,2352397
wung6 fäk2,2357744
gwo1 säng1,2361419
gau1 gæng1,2365512
ci1 ma1 gäng1,2369605
bäu6 lu6,2373907
däk6 ngæng2,2377582
zok2 gäng2,2381153
zung2 yip6,2385246
fak2 nga4,2388608
däu6 pi4,2391970
söi2 ung1,2395959
hæk2 tu4 zöng1,2400470
zi1 tung4 däu6 häp6,2404772
häng1 zöng2,2411582
bing6 li6,2416093
æk2 säu2 ying4 wo4,2419559
äng2 si2,2425010
yäng4 hæk2,2429521
cäk2 söng1 bæk2 ha1,2433092
yung4 gai2 du6,2439066
fän1 fu1,2444309
co1 do2 zäng6 gæng2,2448611
kwäi4 cäng1,2456048
geng2 fuk2,2460350
häu2 siu2,2464025
gäi1 pi4,2468432
yü1 yäm1 häp6 säng4,2472734
fa1 wäi4 wu1 yäu1,2480693
läng4 zü6,2487816
säng4 hü1,2492014
cöi1 yung1 säk2 ma1,2496107
ceng2 gäng2 yäng4,2503230
yäk2 löng1 cöng4,2507741
liu2 fa1,2511834
käng1 ding6 wa2,2515823
hung4 fu1 zäi2,2520543
cuk2 sæng1,2525890
zäng1 hau2,2530401
hek2 do2 wung2,2534912
kong1 yäng4 hük2 zäi1,2539214
si6 do1,2545815
si1 sæng1 bäng1 täu4,2549908
cok2 lok6 yäu1 zi1,2557658
yung4 yi6,2566558
dim2 gai2 yi1 ga1,2570338
bäk2 säk2 häu2 dai2,2576103
zäu2 zäng1 däng1,2583853
ngäu1 wæk6,2588678
gok2 ngæng1,2592667
hæng4 sü1,2596447
zäk2 mäu2 lok6 gäng2 yü1,2600958
ngo6 däu1 si2 lo1,2610171
fai1 leng1 zäng1,2615309
tüng1 züng1,2619716
däu6 gü6,2623914
diu6 gäu1,2628007
päi1 häk6,2631996
läi6 pi4 pa4,2635149
säng1 gäng1 bæk2 zing1,2639974
duk2 yü1,2647306
häu2 söi2,2650981
bau1 lik2,2655179
yäu4 sæng1 wung6 söi2,2658854
näng6 täu4,2665977
muk6 sät2,2669966
häng1 däi6,2674582
mo6 däu6 fu6,2678257
lai6 bu6 gäi1 ma4,2683395
zung1 zi1 säng4 säng4,2691354
zung6 häng1 däi6,2699627
ba1 löi4,2704765
cung4 yäu1,2707709
säng1 mu4 ho2 lüng2,2711802
gäng1 hük2,2717776
si1 cäng4 wa6 yi1,2721765
säm1 läng4 gäi1 tong1,2729620
söng1 se6,2737057
su1 so2,2740837
läu1 sät6,2744826
läm4 si4,2749233
gi1 ping2,2753849
ngo1 di1 zäu6,2757942
so1 yi1,2762140
fui1 ci2,2765920
da2 fi1,2770222
da2 cung4,2773897
päng4 wo4,2777572
da2 gäng2 zöng1,2780725
wu4 lu4,2785236
nü1 köng4 yäng4,2788493
bui1 wäng6,2793213
siu1 ya6,2796993
säm1 söng6 yäng4,2800877
pæk2 da2,2806015
säm1 li1 wäi6 säng1,2809481
si1 ciu4 hi2 fuk6,2816918
wui6 sæng2,2824773
ting1 yi1 mu4 fung4,2829389
gäu1 läu2,2835467
säp6 säng4 gäu2,2839351
ho2 säk2,2845116
wong4 bau1 ce2,2848791
hau2 m1 dau2,2853511
zæk6 säi2,2857813
kai1 däk2 hi2,2862011
hau2 häk6,2866627
löng1 sam1 pui1,2870302
tiu1 fi1 gi1,2876171
gäu1 hok6 söng1 cöng4,2881100
bæk2 yim1,2888537
luk6 ha1,2892317
fo2 ce1 zam6,2895156
hæk2 hi2,2899772
tæng1 tæng1,2903343
säk2 däu6 gwa2 zo6,2907332
ceng1 gwa1,2913306
gi2 do6 gäng1,2917086
da2 di6 gök2,2921179
säng1 ok2 läng6,2925690
mu4 cung4,2930619
diu6 pui1,2935130
häu2 yäu1,2939223
gung1 däk2 mu4 löng4,2943107
pau1 cäng2 beng6 duk6,2949708
hü1 du6,2957354
cöng4 säu6,2961029
löng1 sam1 gæng1,2965122
wäng6 duk6,2971200
zuk2 gäng1,2974457
häu2 m4 tung4,2978341
ning4 häng1 yäu1 wäi4,2981912
läng4 täng1,2990185
gi2 si4,2994278
dæng1 ce1,2998685
cap2 wa6,3002778
zu6 yäng4 cäng4,3006453
zäu2 zäu1,3011382
cäu4 ce1,3015371
zong6 zuk6,3019673
täu4 bæng1 ce1,3022826
gäng1 säng2,3027755
m4 gi1 däk2,3032162
päng4 wo1,3036464
säi2 ce1,3039617
sæng1 gwäi2,3043188
wu1 lu1 muk6 cäi4,3047177
wäng4 zeng2,3054927
mui6 fu1,3059229
mäng4 cäng1,3063949
bui1 zü6,3068460
lung4 läu2,3072553
yäu1 lü1 ce1,3076542
süng1 täu4,3081262
nga4 cim1 zäi2,3085251
gai1 cöi1,3090911
cai2 dæng1 ce1,3095213
häu6 sæng1,3099933
fæng4 wäng4 cöng1 säng6,3104549
lok6 bok6,3113135
bing1 du6 duk6,3116810
söng1 ha1 mong1,3121112
gäng1 tæng1 häu6,3126459
cüng4 zöi6,3131388
söng6 fu1 käp2,3135272
löng1 cäi1,3140619
ping1 ming6,3144921
ca4 gwo2 leng1,3148492
yäk2 wok6 päu1,3152272
säng4 gäng1,3157619
süng1 nü1,3162026
bi1 bi1,3165910
gai1 fung2 yüng4,3169794
bong6 zü6,3174514
dim2 zung1,3178816
wäi4 fu2 zok2 cöng1,3182596
giu1 cäng1,3190451
cäng1 cäu2,3194753
säng6 häi6,3199264
zäm2 täu4,3202939
cäk2 dok6,3206614
säng1 yüng4,3209871
siu2 fæng2,3213442
köng4 säng6,3218267
ma1 si1,3222465
wäi6 gwok2 güng1 kü1,3226558
yü4 lung4,3234622
dung6 tai1 päng4 häng4,3237879
gwu2 däu6 ngik6 cöng4,3244898
yü4 säk2 cung1 fu6,3250872
o1 si2,3259458
fæng1 gung1,3263656
däng2 zong6,3267749
löng1 zi2 mui6,3271424
zung1 si2,3277293
häu1 hæk2,3281804
se2 gwo1,3285584
äi2 gwa1,3289155
kü1 sæng1,3292517
käu1 säu2,3296924
mäng2 zöng1,3301226
gäu1 häng4,3305424
æng1 zäu2,3309099
dai6 do1 su1,3313192
gong2 dim6,3318435
sing1 zi1 häu2,3322110
