pron,offset
ziong1 gung1 suk6 cui4,2112640
zon3 boi4,2120913
tap6 ban3,2126573
ciet6 zung3,2131084
si1 yau4,2136953
sin4 kiuk6,2143031
bau1 ti4,2147856
tu4 zai3,2151531
pok6 ho2 yiu2,2156460
fung4 hang2,2165987
ciang1 cun1 ki2,2171334
cin2 kiong1 lam4 tiau4,2178980
siet5 song4 ga1 song1,2186312
vuk5 ka1,2194794
lang1 vat5 vat5,2199932
sau4 ba3,2205488
gan3 yau4,2210835
gong3 van1 tau4,2215346
lin2 ngiam4,2222051
e4 va4,2228025
du1 hau3 do1,2232536
he4 giang1,2239764
dai3 sam1,2244484
zit5 vui4,2249413
gien1 tit6,2254551
sam1 tien1 liong1 teu2,2258540
man1 fu4 ho4,2267649
min2 but5 fu4 sit6,2273518
zung1 get5 sang2,2280955
pau2 den1 gai3 ngiu2,2288705
giet5 sin4,2298545
yi3 leu1,2303892
ge4 ha4 tiau2 su4,2310284
yi1 si3,2318557
fan2 fa2,2323382
toi4 toi4 pin2 on1,2328625
sau3 tit6,2337211
fo4 cung2 tien1 gong4,2341095
ha2 gung1,2351144
fan2 lau3,2357013
fung2 zung1,2362151
tiau2 zin3,2368752
but5 zung1 yung4,2375144
sit6 ziu4,2380595
boi4 dui4,2385315
gau1 m1 gau1 zit5,2389199
gam4 cu1,2397263
cong2 pau4,2402088
don3 con2,2406808
sit6 ga1 li1,2412468
song4 tiau2,2418651
hau3 cien4 gak5,2423580
sit6 cin4,2429972
cung2 sang1,2434797
gui4 vui2,2441293
zung4 kien2,2446222
pin2 sim1 cin4 hi4,2450838
sit6 pin3 gung1 ngiap6,2460783
yau4 gin3,2467488
dan1 kit6,2473357
mo4 so4,2477659
cim1 van1 tau4,2483424
tiap6 cu4,2489816
zung3 gam1 duk5,2494223
sit6 vut6 ngiun2 hong2,2499570
su4 sit6 song4,2509201
ket5 pok6,2515697
ngan4 ngo2,2519790
hau3 yiu1,2524719
toi4 vui2,2530484
hong2 gui1,2536249
gung1 gau1 ca1,2543686
zin3 yim1,2549869
dau4 heu4,2555320
pong2 sin1,2559831
but5 gin1 but5 gok5,2565596
gi1 bun3 song4,2573346
zung1 kip5,2581201
zip5 hang2 dung3 su4,2585608
ziu1 zong3,2594299
sun2 cai4,2599750
pai4 si4 ki2 zung1,2605201
cung2 yung2 but5 bet5,2615981
giok5 lang2 du3,2623209
sit6 gin3 fan4,2630646
zon4 ca1,2638292
liau2 yi2 zi3 zong3,2644057
he4 lan2,2653897
pong2 mun2 zo3 tau4,2658408
fo4 zai3,2665322
sang1 cun1,2670147
han2 he4,2676957
yau4 m1 yau4 hau3,2681364
zung1 kiung4,2689323
su1 zok5,2694566
siau3 heu3,2699286
ngi4 sam1 sien4,2704111
gung1 bau4 su1 siu2,2711652
yit5 ki3 zu1 cong2,2723059
siu3 zin3,2730914
gai3 m1 gai3,2736783
hong2 ngiap6,2743488
dui4 min4,2747477
zi3 moi4,2751570
zon4 yiu2,2756186
co4 hiong4,2761742
hau4 hok6,2766776
ng3 da1,2770869
fa2 yin1,2775485
cung4 diam3,2781459
hiong4 ngit5 kui2,2786075
sam1 lien2 su1 diam4,2796542
zet5 bien1,2805233
cam1 zau4 hi4,2810476
sam1 min2,2817495
hang2 gin1,2822738
